position,title,link,authors,publications
55,An ant algorithm hyperheuristic for the project presentation scheduling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:mVmsd5A6BfQC,"E Burke, G Kendall, D Landa Silva, R O'Brien, E Soubeiga","Evolutionary Computation, 2005. The 2005 IEEE Congress on 3, 2263-2270 Vol. 3, 2005"
56,Channel assignment in cellular communication using a great deluge hyper-heuristic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:qxL8FJ1GzNcC,"G Kendall, M Mohamad","Networks, 2004.(ICON 2004). Proceedings. 12th IEEE International Conference …, 2004"
57,The application of a dendritic cell algorithm to a robotic classifier,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:KlAtU1dfN6UC,"R Oates, J Greensmith, U Aickelin, J Garibaldi, G Kendall","Artificial Immune Systems, 204-215, 2007"
58,An investigation of a Tabu assisted hyper-heuristic genetic algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:8k81kl-MbHgC,"L Han, G Kendall","Evolutionary Computation, 2003. CEC'03. The 2003 Congress on 3, 2230-2237 Vol. 3, 2003"
59,Automating the packing heuristic design process with genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:AvfA0Oy_GE0C,"EK Burke, MR Hyde, G Kendall, J Woodward","Evolutionary computation 20 (1), 63-89, 2012"
60,A particle swarm optimisation approach in the construction of optimal risky portfolios,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:M3ejUd6NZC8C,"G Kendall, Y Su","Proceedings of the 23rd IASTED International Multi-Conference on Applied …, 2005"
61,"Heuristic, meta-heuristic and hyper-heuristic approaches for fresh produce inventory control and shelf space allocation",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:dhFuZR0502QC,"R Bai, EK Burke, G Kendall","Journal of the Operational Research Society 59 (10), 1387-1397, 2008"
62,An experimental study of hyper-heuristic selection and acceptance mechanism for combinatorial t-way test suite generation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:8Xgff_V0N9gC,"KZ Zamli, F Din, G Kendall, BS Ahmed","Information Sciences 399, 121-153, 2017"
63,A survey of hyper-heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:L8Ckcad2t8MC,"EK Burke, M Hyde, G Kendall, G Ochoa, E Ozcan, R Qu","Computer Science Technical Report No. NOTTCS-TR-SUB-0906241418-2747, School …, 2009"
64,Search methodologies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:5UUbrqTvKfUC,"K Sastry, D Goldberg, G Kendall","Introductory Tutorials in Optimization and Decision Support Techniques, 2005"
